,count,mean,std,min,25%,50%,75%,max
PRI_p25,204.0,-0.041581371472927675,0.03799596968322762,-0.15344014439091325,-0.06496565042715105,-0.03966943173375867,-0.007202803045844625,0.017661503305428285
PRI_p75,204.0,-0.005068568584170759,0.027043861615329096,-0.0863938564283638,-0.02048274569047788,0.0011534321404424422,0.016129742337663285,0.0371346698002258
mARI_mean,204.0,2.9657940296656746,3.813845276658209,-0.5584839854103694,0.10938658974401018,0.48278475652088304,6.329775060851314,13.43134505025979
mARI_std,204.0,1.6898044563289045,1.7023534223876122,0.1297710304174338,0.27283659128043275,0.6316782367407401,3.3646936695535956,5.571859220121925
mARI_p25,204.0,1.8110707350384707,2.768099062594627,-0.7940074745902873,-0.05947590664252639,0.20519784563407403,4.069592211439625,10.51194357668917
mARI_p75,204.0,3.7967704579454757,4.8090469916601375,-0.42738635291756,0.1539797376410164,0.47060879013157,8.289407221578426,15.822443521828
SIPI_mean,204.0,1.123958278629875,0.4721187221666431,0.9804990575930966,0.9941615235147891,1.0106015374473771,1.0646274289716038,6.2610693137855415
SIPI_std,204.0,0.211263996364502,0.5328227658905733,0.008662798290114192,0.02069207735924991,0.04460990556347297,0.150293988419968,4.358209600779225
SIPI_p25,204.0,1.0266580165513548,0.22964033048185495,0.974498873560077,0.9867256823415103,0.9923679239810268,1.0016462017208678,3.6733090768424366
SIPI_p75,204.0,1.148760987065532,0.6562392503836403,0.984439816062574,0.9973771312683366,1.0132220995862629,1.0413032972141596,8.648864640770181
WBI_mean,204.0,0.9597023911040778,0.017323590597661646,0.9256984750753149,0.9461301158890781,0.9566327355845756,0.9722169089290807,1.0035235017703545
WBI_std,204.0,0.027205318764667127,0.005497822431448259,0.019150722896030453,0.023560187748980367,0.025636403788365528,0.02935203975547466,0.05274613873347585
WBI_p25,204.0,0.9457519981127525,0.017982153469478516,0.9057649314715913,0.9311468083315403,0.9428514392298113,0.958907629135302,0.9908685044416594
WBI_p75,204.0,0.9760664038999773,0.01657041996666627,0.9421843688168728,0.9631634861577525,0.9736432719003623,0.9871153623892873,1.0174418434444286
REP_mean,204.0,717.4282668257331,6.981820089453295,700.2395935931434,712.0359895057998,716.9777180037879,722.1366291621061,732.3715381997066
REP_std,204.0,15.131777012222381,79.17632381178825,1.945190147475745,3.273040834617758,4.302575421471564,6.120936191939283,1057.3093644540227
REP_p25,204.0,714.306713960513,7.850587016270599,696.1548008680767,708.8756368284445,713.0840244700232,719.7164898209292,730.5964603507447
REP_p75,204.0,720.5480247731259,7.0888488801195635,704.8698731245008,715.0365546439692,720.0081839420762,726.1712362915298,740.4825198214074
BES_mean,204.0,-0.0007896859722356887,0.00024358697466608014,-0.0012456024656741652,-0.0009465580859963073,-0.000827918566221397,-0.0006916532773706637,0.0007500645509614548
BES_std,204.0,0.00033672153737939316,0.00016317463040265104,0.00019295048908713936,0.0002544511896340919,0.00028703949374897085,0.00034827791311410324,0.0016394265301425378
BES_p25,204.0,-0.0010162602222579366,0.0002016167515058484,-0.0014121004939079286,-0.0011575428396463396,-0.0010437525436282156,-0.0009120759367942811,7.620304822921752e-05
BES_p75,204.0,-0.0005907435851701189,0.0002890286495407035,-0.001096167117357254,-0.0007640989497303963,-0.0006313095986843109,-0.0004868979379534722,0.0012570098042488098
FLAVI_mean,204.0,6.658131624609105,2.3468880877534986,1.9543645530324605,4.926294762185726,6.0551800627266665,7.888698048700489,14.763008188620345
FLAVI_std,204.0,4.9614685457610515,2.777838215105485,1.3982661343469638,2.9885275293179143,4.048133413506639,6.35300676005434,16.338218151398372
FLAVI_p25,204.0,4.335092666827715,1.5235591969159954,1.3830258205822523,3.284630400581245,3.919717263939293,5.524530930111277,8.06598341748691
FLAVI_p75,204.0,7.45826172712559,2.7552099983401517,2.0752213115707514,5.584982991764978,6.994174891007673,8.667699969815029,21.3706061736111
snv_R397,204.0,-0.9267218779259707,0.16060881290248086,-1.7786686792723656,-0.9767524294033424,-0.8731312609521867,-0.8235343403279559,-0.7288381594780596
snv_R400,204.0,-0.989560083757289,0.16775818795770395,-1.8548548476851834,-1.0410076383310516,-0.9317216055918309,-0.88281047601722,-0.7903188498525778
snv_R403,204.0,-1.0300076938511717,0.1723967299156731,-1.9053701225238848,-1.0839743066203633,-0.9721399248664282,-0.9207971807547681,-0.8295840721056187
snv_R406,204.0,-1.0579304061513368,0.17519995979580835,-1.936975920413837,-1.1145621322834791,-0.9982687326796384,-0.9434063978367986,-0.8618669404937552
snv_R409,204.0,-1.0767082756456465,0.1764451592569693,-1.9511913617427488,-1.1343070510386122,-1.0166753359855893,-0.9614955110444984,-0.8816716175902121
snv_R412,204.0,-1.0938905133858918,0.17736729287186123,-1.9636814024309461,-1.152533246619015,-1.0349173608608657,-0.9804558669115662,-0.8994566105380931
snv_R415,204.0,-1.1073852749702024,0.17747702233123586,-1.965038771012008,-1.166385086788969,-1.0489271568307017,-0.9912308094579192,-0.9121108370581678
snv_R418,204.0,-1.117756974470086,0.1772982890733433,-1.9628430631576377,-1.1771537577872593,-1.059863015543148,-1.0017590387528903,-0.9262888608079113
snv_R420,204.0,-1.1253362698765577,0.17593456695451526,-1.9505091068119107,-1.1852890289704665,-1.0693470601647916,-1.0104575348922276,-0.9350517560291056
snv_R423,204.0,-1.131037079497633,0.17407937331297246,-1.932262518959812,-1.1910252276758497,-1.0756370321706998,-1.0186431770231144,-0.9441722005003159
snv_R426,204.0,-1.134412589353573,0.17169949804171367,-1.9102612052388062,-1.19374143109398,-1.0786129393573693,-1.0228036019630409,-0.951702933586266
snv_R429,204.0,-1.1358852498248433,0.16879017572233018,-1.8809767621721427,-1.1931543827856468,-1.0800710182393027,-1.0260882977209973,-0.9553382548774009
snv_R432,204.0,-1.135546421587937,0.1654921462093626,-1.857989756174385,-1.1924320821828174,-1.0777299425309175,-1.0271932414446403,-0.9587603977074016
snv_R435,204.0,-1.1345305755094592,0.16228840658696247,-1.842945096999581,-1.193071660511491,-1.0783154235616528,-1.0249057973372955,-0.9603880600486062
snv_R438,204.0,-1.1325131810465439,0.15877176851058486,-1.8270069229397856,-1.1915752847912866,-1.0750300025109234,-1.0241524310064947,-0.9608241370570634
snv_R441,204.0,-1.1295792133191949,0.15541538390777437,-1.8125169984297915,-1.1877245843909165,-1.0735186273130553,-1.022553652786742,-0.9611085523934761
snv_R444,204.0,-1.1269414208022328,0.1522822182198462,-1.7996904487736278,-1.1860957351554553,-1.0732239000377377,-1.022069221986082,-0.9620671348567854
snv_R446,204.0,-1.1237718612097445,0.14911063532416424,-1.7870612077505845,-1.183769159804362,-1.0729615392639147,-1.0208715624790246,-0.9618310289786334
snv_R449,204.0,-1.12140752283505,0.14607247246247737,-1.7786133949790874,-1.1825178755634504,-1.073622150100944,-1.0208744198980138,-0.9622025697888777
snv_R452,204.0,-1.119332449773363,0.1429503548752988,-1.768019009228046,-1.1826902372064456,-1.0730245419268294,-1.0211070321675826,-0.9634394869652947
